article_id,cluster
politifact1820,8
politifact537,17
politifact12104,17
politifact12755,19
politifact1216,17
politifact3919,8
politifact2836,0
politifact539,2
politifact13013,8
politifact13477,11
politifact357,17
politifact959,2
politifact8537,17
politifact11115,8
politifact7540,1
politifact12556,17
politifact3584,17
politifact368,6
politifact11989,11
politifact8769,12
politifact599,8
politifact304,6
politifact2298,0
politifact769,8
politifact100,8
politifact13244,11
politifact751,17
politifact8152,8
politifact958,16
politifact356,8
politifact9622,8
politifact1014,11
politifact3115,2
politifact351,17
politifact3320,8
politifact11577,19
politifact1013,8
politifact5447,1
politifact13229,11
politifact2208,8
politifact10209,10
politifact951,17
politifact509,5
politifact4306,19
politifact1446,6
politifact2435,6
politifact8130,8
politifact596,1
politifact13619,11
politifact333,18
politifact11711,8
politifact1047,0
politifact7182,8
politifact934,17
politifact1040,17
politifact1424,8
politifact2093,17
politifact554,16
politifact3468,2
politifact426,5
politifact2318,4
politifact421,5
politifact14920,8
politifact1135,8
politifact8045,12
politifact8846,8
politifact10787,17
politifact1755,17
politifact246,17
politifact31,8
politifact11699,12
politifact1560,8
politifact279,1
politifact212,8
politifact65,14
politifact12070,17
politifact1701,17
politifact10185,8
politifact671,17
politifact1161,17
politifact13352,8
politifact12079,8
politifact98,8
politifact11066,8
politifact13193,8
politifact486,4
politifact4887,18
politifact247,17
politifact11208,8
politifact13900,14
politifact9734,1
politifact14114,17
politifact7665,8
politifact429,5
politifact13132,16
politifact1731,17
politifact99,2
politifact52,0
politifact9107,8
politifact679,5
politifact4875,6
politifact10945,17
politifact489,8
politifact12627,8
politifact825,5
politifact11855,8
politifact442,8
politifact214,17
politifact3898,0
politifact11899,6
politifact6146,16
politifact3050,17
politifact4275,17
politifact445,8
politifact677,16
politifact655,5
politifact1180,8
politifact1519,8
politifact690,10
politifact200,8
politifact8838,8
politifact1714,18
politifact809,17
politifact4850,1
politifact84,8
politifact2734,1
politifact6360,8
politifact608,1
politifact1575,14
politifact2131,2
politifact9512,8
politifact23,8
politifact2758,17
politifact1315,8
politifact1118,8
politifact1924,8
politifact206,8
politifact6537,8
politifact239,8
politifact8005,12
politifact201,7
politifact691,8
politifact1143,16
politifact11882,8
politifact495,6
politifact12052,6
politifact208,8
politifact806,11
politifact1949,14
politifact12294,8
politifact3428,8
