article_id,cluster
politifact1820,2
politifact537,2
politifact12104,2
politifact12755,2
politifact1216,2
politifact3919,2
politifact2836,2
politifact539,2
politifact13013,2
politifact13477,2
politifact357,2
politifact959,2
politifact8537,2
politifact11115,2
politifact7540,2
politifact12556,2
politifact3584,2
politifact368,2
politifact11989,2
politifact8769,2
politifact599,2
politifact304,2
politifact2298,2
politifact769,2
politifact100,2
politifact13244,2
politifact751,2
politifact8152,2
politifact958,2
politifact356,2
politifact9622,2
politifact1014,2
politifact3115,2
politifact351,2
politifact3320,2
politifact11577,2
politifact1013,2
politifact5447,2
politifact13229,2
politifact2208,2
politifact10209,2
politifact951,2
politifact509,2
politifact4306,2
politifact1446,2
politifact2435,2
politifact8130,2
politifact596,2
politifact13619,2
politifact333,2
politifact11711,2
politifact1047,2
politifact7182,2
politifact934,2
politifact1040,2
politifact1424,2
politifact2093,2
politifact554,2
politifact3468,2
politifact426,2
politifact2318,2
politifact421,2
politifact14920,2
politifact1135,2
politifact8045,2
politifact8846,2
politifact10787,2
politifact1755,2
politifact246,2
politifact31,2
politifact11699,2
politifact1560,2
politifact279,2
politifact212,2
politifact65,2
politifact12070,2
politifact1701,2
politifact10185,2
politifact671,2
politifact1161,2
politifact13352,2
politifact12079,2
politifact98,2
politifact11066,2
politifact13193,2
politifact486,2
politifact4887,2
politifact247,2
politifact11208,2
politifact13900,2
politifact9734,2
politifact14114,2
politifact7665,2
politifact429,2
politifact13132,2
politifact1731,2
politifact99,2
politifact52,2
politifact9107,2
politifact679,2
politifact4875,2
politifact10945,2
politifact489,2
politifact12627,4
politifact825,4
politifact11855,4
politifact442,4
politifact214,4
politifact3898,4
politifact11899,4
politifact6146,4
politifact3050,4
politifact4275,4
politifact445,4
politifact677,4
politifact655,4
politifact1180,4
politifact1519,4
politifact690,4
politifact200,4
politifact8838,4
politifact1714,4
politifact809,4
politifact4850,4
politifact84,4
politifact2734,4
politifact6360,4
politifact608,4
politifact1575,4
politifact2131,4
politifact9512,4
politifact23,4
politifact2758,4
politifact1315,4
politifact1118,4
politifact1924,4
politifact206,4
politifact6537,4
politifact239,4
politifact8005,4
politifact201,4
politifact691,4
politifact1143,4
politifact11882,4
politifact495,4
politifact12052,4
politifact208,4
politifact806,4
politifact1949,4
politifact12294,4
politifact3428,4
politifact9576,4
politifact230,4
politifact11416,4
politifact2393,4
politifact11072,4
politifact1770,4
politifact10332,4
politifact6932,4
politifact600,4
politifact10903,4
politifact1783,4
politifact1313,4
politifact11021,4
politifact263,4
politifact5778,4
politifact2139,4
politifact435,4
politifact1741,4
politifact7489,4
politifact8069,4
politifact1779,4
politifact636,4
politifact320,4
politifact582,4
politifact10276,4
politifact1866,4
politifact6871,4
politifact1892,4
